Loss iteration 42: ['5.28e-04', '5.16e-04', '4.22e-06', '7.24e-06', '1.41e-03'] - 4s
Loss iteration 43: ['5.16e-04', '5.08e-04', '2.27e-06', '5.70e-06', '2.42e-04'] - 6s
Loss iteration 44: ['5.95e-04', '5.63e-04', '2.66e-05', '5.34e-06', '0.00e+00'] - 6s
Loss iteration 45: ['4.57e-04', '4.31e-04', '1.90e-05', '6.28e-06', '0.00e+00'] - 6s
Loss iteration 46: ['3.59e-04', '3.50e-04', '3.05e-06', '6.70e-06', '0.00e+00'] - 6s
Loss iteration 47: ['3.92e-04', '3.74e-04', '9.63e-06', '7.43e-06', '0.00e+00'] - 3s
Loss iteration 48: ['2.45e-04', '2.32e-04', '5.11e-06', '8.02e-06', '0.00e+00'] - 1s
Loss iteration 49: ['6.02e-04', '5.92e-04', '2.15e-06', '8.02e-06', '0.00e+00'] - 6s
Loss iteration 50: ['3.56e-04', '3.39e-04', '9.00e-06', '7.68e-06', '0.00e+00'] - 6s
Loss iteration 51: ['9.48e-04', '9.36e-04', '4.05e-06', '8.20e-06', '0.00e+00'] - 6s
Loss iteration 52: ['4.89e-04', '4.60e-04', '2.03e-05', '8.58e-06', '0.00e+00'] - 6s
Loss iteration 53: ['5.15e-04', '5.03e-04', '3.60e-06', '8.34e-06', '0.00e+00'] - 4s
Loss iteration 54: ['5.62e-04', '5.53e-04', '3.14e-06', '6.78e-06', '0.00e+00'] - 6s
Loss iteration 55: ['5.34e-04', '5.05e-04', '2.19e-05', '6.96e-06', '0.00e+00'] - 6s
Loss iteration 56: ['5.22e-04', '4.84e-04', '3.05e-05', '8.06e-06', '0.00e+00'] - 6s
Loss iteration 57: ['4.12e-04', '3.92e-04', '1.19e-05', '8.91e-06', '1.12e-03'] - 3s
Loss iteration 58: ['5.98e-04', '5.68e-04', '2.02e-05', '9.98e-06', '8.43e-04'] - 6s
Loss iteration 59: ['4.27e-04', '4.11e-04', '6.95e-06', '9.74e-06', '1.85e-04'] - 6s
Loss iteration 60: ['4.60e-04', '4.45e-04', '4.59e-06', '1.00e-05', '1.15e-03'] - 6s
Loss iteration 61: ['5.81e-04', '5.64e-04', '7.47e-06', '9.89e-06', '6.38e-04'] - 7s
Loss iteration 62: ['6.29e-04', '6.14e-04', '5.64e-06', '1.01e-05', '4.93e-04'] - 6s
Loss iteration 63: ['6.13e-04', '5.87e-04', '1.63e-05', '9.52e-06', '5.57e-04'] - 6s
Loss iteration 64: ['5.02e-04', '4.79e-04', '1.40e-05', '9.08e-06', '8.72e-04'] - 5s
Loss iteration 65: ['4.22e-04', '4.05e-04', '8.47e-06', '8.63e-06', '1.00e-03'] - 6s
Loss iteration 66: ['5.05e-04', '4.84e-04', '1.09e-05', '9.31e-06', '0.00e+00'] - 6s
Loss iteration 67: ['4.27e-04', '4.12e-04', '5.30e-06', '9.74e-06', '0.00e+00'] - 2s
Loss iteration 68: ['4.08e-04', '3.92e-04', '5.86e-06', '1.05e-05', '0.00e+00'] - 3s
Loss iteration 69: ['5.37e-04', '5.10e-04', '1.53e-05', '1.19e-05', '0.00e+00'] - 4s
Loss iteration 70: ['4.59e-04', '4.41e-04', '5.64e-06', '1.24e-05', '0.00e+00'] - 4s
Loss iteration 71: ['4.55e-04', '4.30e-04', '1.30e-05', '1.27e-05', '0.00e+00'] - 1s
Loss iteration 72: ['6.75e-04', '6.52e-04', '1.15e-05', '1.20e-05', '0.00e+00'] - 6s
Loss iteration 73: ['4.10e-04', '3.90e-04', '7.34e-06', '1.20e-05', '0.00e+00'] - 2s
Loss iteration 74: ['5.98e-04', '5.79e-04', '8.63e-06', '1.11e-05', '0.00e+00'] - 4s
Loss iteration 75: ['4.97e-04', '4.69e-04', '1.71e-05', '1.06e-05', '0.00e+00'] - 4s
Loss iteration 76: ['4.01e-04', '3.87e-04', '3.28e-06', '1.03e-05', '0.00e+00'] - 3s
Loss iteration 77: ['5.38e-04', '5.22e-04', '6.21e-06', '1.04e-05', '0.00e+00'] - 6s
Loss iteration 78: ['4.64e-04', '4.45e-04', '8.19e-06', '1.09e-05', '6.06e-03'] - 4s
Loss iteration 79: ['7.53e-04', '7.26e-04', '1.61e-05', '1.12e-05', '6.51e-03'] - 6s
Loss iteration 80: ['5.86e-04', '5.59e-04', '1.50e-05', '1.23e-05', '5.17e-03'] - 5s
Loss iteration 81: ['8.93e-04', '8.75e-04', '4.97e-06', '1.32e-05', '8.31e-03'] - 6s
Loss iteration 82: ['6.20e-04', '5.92e-04', '1.38e-05', '1.42e-05', '6.59e-03'] - 6s
Loss iteration 83: ['7.35e-04', '7.03e-04', '1.63e-05', '1.52e-05', '4.11e-03'] - 3s
Loss iteration 84: ['6.15e-04', '5.96e-04', '4.28e-06', '1.52e-05', '6.99e-03'] - 4s
Loss iteration 85: ['9.30e-04', '9.14e-04', '1.25e-06', '1.45e-05', '7.50e-03'] - 6s
Loss iteration 86: ['6.98e-04', '6.72e-04', '1.22e-05', '1.36e-05', '5.73e-03'] - 4s
Loss iteration 87: ['8.14e-04', '7.98e-04', '2.86e-06', '1.31e-05', '0.00e+00'] - 6s
Loss iteration 88: ['6.92e-04', '6.75e-04', '4.00e-06', '1.27e-05', '0.00e+00'] - 3s
Loss iteration 89: ['6.61e-04', '6.46e-04', '1.73e-06', '1.28e-05', '0.00e+00'] - 1s
Loss iteration 90: ['9.27e-04', '9.03e-04', '1.07e-05', '1.32e-05', '0.00e+00'] - 2s
Loss iteration 91: ['1.10e-03', '1.08e-03', '5.93e-06', '1.46e-05', '0.00e+00'] - 2s
Loss iteration 92: ['1.23e-03', '1.20e-03', '1.02e-05', '1.62e-05', '0.00e+00'] - 6s
Loss iteration 93: ['9.69e-04', '9.24e-04', '2.72e-05', '1.79e-05', '0.00e+00'] - 6s
Loss iteration 94: ['9.92e-04', '9.49e-04', '2.27e-05', '1.97e-05', '0.00e+00'] - 2s
Loss iteration 95: ['6.67e-04', '6.44e-04', '3.26e-06', '2.00e-05', '0.00e+00'] - 6s
Loss iteration 96: ['6.79e-04', '6.41e-04', '1.94e-05', '1.92e-05', '0.00e+00'] - 2s
Loss iteration 97: ['8.11e-04', '7.81e-04', '1.20e-05', '1.80e-05', '0.00e+00'] - 1s
Loss iteration 98: ['9.96e-04', '9.73e-04', '5.90e-06', '1.70e-05', '0.00e+00'] - 6s
Loss iteration 99: ['1.22e-03', '1.20e-03', '1.06e-05', '1.64e-05', '0.00e+00'] - 2s
Loss iteration 100: ['1.13e-03', '1.09e-03', '1.97e-05', '1.63e-05', '7.28e-03'] - 2s
Loss iteration 101: ['1.03e-03', '1.01e-03', '1.03e-05', '1.73e-05', '6.59e-03'] - 2s
Loss iteration 102: ['1.37e-03', '1.35e-03', '3.54e-06', '1.90e-05', '3.00e-03'] - 2s
Loss iteration 103: ['1.89e-03', '1.76e-03', '1.14e-04', '2.16e-05', '6.69e-03'] - 6s
Loss iteration 104: ['1.26e-03', '1.21e-03', '2.40e-05', '2.41e-05', '4.43e-03'] - 6s
Loss iteration 105: ['8.77e-04', '8.32e-04', '1.78e-05', '2.67e-05', '4.01e-03'] - 5s
Loss iteration 106: ['9.54e-04', '9.16e-04', '1.12e-05', '2.68e-05', '2.64e-03'] - 2s
Loss iteration 107: ['7.61e-04', '7.24e-04', '1.18e-05', '2.54e-05', '3.25e-03'] - 1s
Loss iteration 108: ['1.06e-03', '1.02e-03', '1.73e-05', '2.38e-05', '3.10e-03'] - 1s
Loss iteration 109: ['7.52e-04', '7.14e-04', '1.57e-05', '2.19e-05', '0.00e+00'] - 1s
Loss iteration 110: ['8.53e-04', '7.98e-04', '3.43e-05', '2.14e-05', '0.00e+00'] - 1s
Loss iteration 111: ['1.07e-03', '1.03e-03', '9.08e-06', '2.19e-05', '0.00e+00'] - 1s
