Loss iteration 57: ['4.11e-04', '3.63e-04', '1.20e-06', '4.72e-05', '8.32e-02'] - 8s
Loss iteration 58: ['4.34e-04', '3.85e-04', '4.73e-06', '4.47e-05', '8.00e-02'] - 7s
Loss iteration 59: ['4.66e-04', '4.20e-04', '1.25e-06', '4.55e-05', '7.18e-02'] - 8s
Loss iteration 60: ['4.59e-04', '4.10e-04', '4.28e-06', '4.42e-05', '7.54e-02'] - 3s
Loss iteration 61: ['4.78e-04', '3.93e-04', '4.00e-05', '4.49e-05', '7.31e-02'] - 8s
Loss iteration 62: ['5.45e-04', '4.90e-04', '9.00e-06', '4.61e-05', '7.78e-02'] - 8s
Loss iteration 63: ['4.76e-04', '4.26e-04', '2.28e-06', '4.71e-05', '7.75e-02'] - 8s
Loss iteration 64: ['5.96e-04', '5.33e-04', '1.49e-05', '4.78e-05', '7.35e-02'] - 4s
Loss iteration 65: ['6.40e-04', '5.90e-04', '4.00e-06', '4.61e-05', '7.82e-02'] - 8s
Loss iteration 66: ['4.06e-04', '3.58e-04', '2.14e-06', '4.61e-05', '0.00e+00'] - 3s
Loss iteration 67: ['3.64e-04', '3.13e-04', '5.24e-06', '4.62e-05', '0.00e+00'] - 8s
Loss iteration 68: ['3.65e-04', '3.20e-04', '9.25e-07', '4.36e-05', '0.00e+00'] - 7s
Loss iteration 69: ['3.13e-04', '2.66e-04', '5.22e-06', '4.19e-05', '0.00e+00'] - 8s
Loss iteration 70: ['7.15e-04', '6.66e-04', '2.05e-06', '4.72e-05', '0.00e+00'] - 7s
Loss iteration 71: ['6.52e-04', '5.80e-04', '2.20e-05', '4.94e-05', '0.00e+00'] - 8s
Loss iteration 72: ['6.59e-04', '5.97e-04', '1.29e-05', '4.88e-05', '0.00e+00'] - 7s
Loss iteration 73: ['7.74e-04', '7.11e-04', '8.24e-06', '5.44e-05', '0.00e+00'] - 2s
Loss iteration 74: ['5.22e-04', '4.61e-04', '7.98e-06', '5.29e-05', '0.00e+00'] - 4s
Loss iteration 75: ['1.01e-03', '9.43e-04', '1.14e-05', '5.17e-05', '0.00e+00'] - 5s
Loss iteration 76: ['1.01e-03', '9.55e-04', '3.40e-06', '5.05e-05', '0.00e+00'] - 2s
Loss iteration 77: ['7.33e-04', '6.79e-04', '4.43e-06', '4.92e-05', '0.00e+00'] - 8s
Loss iteration 78: ['4.30e-04', '3.76e-04', '5.11e-06', '4.97e-05', '3.46e-01'] - 2s
Loss iteration 79: ['7.86e-04', '7.38e-04', '1.55e-06', '4.73e-05', '3.33e-01'] - 7s
Loss iteration 80: ['5.41e-04', '4.91e-04', '4.47e-06', '4.60e-05', '3.23e-01'] - 7s
Loss iteration 81: ['5.79e-04', '5.28e-04', '4.38e-06', '4.68e-05', '3.33e-01'] - 2s
